OCCURRENCE_YEAR,OCCURRENCE_DATE,REPORTED_DATE,BiasMotivation,PRIMARY_OFFENCE,NEIGHBOURHOOD_140,ARREST_MADE
2018,2018-06-24,2018-06-24,Sexual Orientation,Uttering Threats - Bodily Harm,Waterfront Communities-The Island (77),NO
2018,2018-06-26,2018-06-26,Sexual Orientation,Arson,Church-Yonge Corridor (75),NO
2018,2018-06-26,2018-06-26,Sexual Orientation,Public Incitement of Hatred,York University Heights (27),NO
2018,2018-06-27,2018-06-28,Religion,Mischief Under $5000,East End-Danforth (62),NO
2018,2018-06-29,2018-06-29,Race/Ethnicity,Mischief Under $5000,Kensington-Chinatown (78),NO
2018,2018-07-04,2018-07-23,Religion,Assault,Church-Yonge Corridor (75),NO
2018,2018-07-10,2018-07-11,Religion,Mischief Under $5000,Waterfront Communities-The Island (77),NO
2018,2018-07-14,2018-07-14,Ethnicity,Assault,Willowdale East (51),NO
2018,2018-07-21,2018-07-21,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Bathurst Manor (34),NO
2018,2018-07-23,2018-07-23,Religion,Assault,Waterfront Communities-The Island (77),YES
2018,2018-07-23,2018-08-13,Religion,Theft,Bedford Park-Nortown (39),NO
2018,2018-07-24,2018-07-25,Race/Ethnicity,Mischief Under $5000,Victoria Village (43),NO
2018,2018-07-26,2018-07-27,Ethnicity,Mischief Under $5000,Moss Park (73),NO
2018,2018-07-29,2018-07-29,Religion,Mischief Under $5000,High Park-Swansea (87),NO
2018,2018-07-31,2018-08-01,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Dovercourt-Wallace Emerson-Junction (93),NO
2018,2018-08-02,2018-08-03,Religion,Mischief Under $5000,Church-Yonge Corridor (75),NO
2018,2018-08-03,2018-08-03,Religion,Mischief Under $5000,Etobicoke West Mall (13),NO
2018,2018-08-03,2018-08-06,Religion,Mischief Under $5000,Briar Hill-Belgravia (108),NO
2018,2018-08-08,2018-08-08,Sexual Orientation,Assault With a Weapon,Church-Yonge Corridor (75),NO
2018,2018-08-09,2018-08-09,Religion,Assault,Agincourt South-Malvern West (128),YES
2018,2018-08-11,2018-08-11,Religion,Mischief Under $5000,Waterfront Communities-The Island (77),NO
2018,2018-08-12,2018-08-12,Gender,Assault,Junction Area (90),NO
2018,2018-08-14,2018-08-14,Religion,Mischief Under $5000,Etobicoke West Mall (13),NO
2018,2018-08-14,2018-08-15,Religion,Indecent Communications,Bathurst Manor (34),YES
2018,2018-08-19,2018-08-19,Religion,Mischief Under $5000,Dufferin Grove (83),NO
2018,2018-08-20,2018-09-06,Race/Ethnicity,"Mischief To Religious Property, Educational Institutions, Etc.",New Toronto (18),NO
2018,2018-08-21,2018-08-23,Sexual Orientation,Assault,Newtonbrook West (36),NO
2018,2018-08-22,2018-08-22,Race/Ethnicity,Mischief Under $5000,Moss Park (73),NO
2018,2018-08-25,2018-08-25,Ethnicity,Assault With a Weapon,Kingsway South (15),NO
2018,2018-08-27,2018-08-27,Race/Ethnicity,Mischief Under $5000,Highland Creek (134),NO
2018,2018-08-30,2018-09-04,Religion,Mischief Under $5000,Englemount-Lawrence (32),NO
2018,2018-08-31,2018-08-31,Sexual Orientation,Assault,Annex (95),NO
2018,2018-09-04,2018-09-04,Religion,Mischief Under $5000,Islington-City Centre West (14),NO
2018,2018-09-04,2019-03-01,Religion,Mischief Under $5000,Newtonbrook East (50),NO
2018,2018-09-05,2018-09-06,Race/Ethnicity,Mischief Under $5000,Mount Dennis (115),NO
2018,2018-09-15,2018-09-16,Religion,Uttering Threats - Bodily Harm,Church-Yonge Corridor (75),YES
2018,2018-09-19,2018-09-19,Religion,Mischief Interfere With Property,York University Heights (27),NO
2018,2018-09-20,2018-09-21,Sexual Orientation,"Mischief To Religious Property, Educational Institutions, Etc.",Little Portugal (84),NO
2018,2018-09-21,2018-09-21,Religion,Mischief Under $5000,York University Heights (27),NO
2018,2018-09-21,2018-10-04,Race/Ethnicity,Uttering Threats - Bodily Harm,Islington-City Centre West (14),NO
2018,2018-10-01,2018-11-03,Race/Ethnicity,Mischief Under $5000,York University Heights (27),NO
2018,2018-10-02,2018-10-02,Ethnicity,Indecent Communications,Malvern (132),NO
2018,2018-10-04,2018-10-11,Religion,Indecent Communications,Bathurst Manor (34),NO
2018,2018-10-05,2018-10-09,Ethnicity,"Mischief To Religious Property, Educational Institutions, Etc.",Oakwood Village (107),NO
2018,2018-10-07,2018-10-09,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Humewood-Cedarvale (106),NO
2018,2018-10-07,2018-10-12,Race/Ethnicity,"Mischief To Religious Property, Educational Institutions, Etc.",New Toronto (18),NO
2018,2018-10-08,2018-10-08,Race/Ethnicity,Mischief Under $5000,NSA,NO
2018,2018-10-09,2018-10-11,Religion,Mischief Under $5000,Bedford Park-Nortown (39),NO
2018,2018-10-22,2018-10-24,Religion,Mischief Under $5000,Mount Pleasant East (99),YES
2018,2018-10-25,2018-10-25,Race/Ethnicity,Assault,Niagara (82),NO
2018,2018-10-26,2018-10-28,Religion,Mischief Under $5000,Forest Hill South (101),NO
2018,2018-10-27,2018-10-29,Religion,Mischief Under $5000,Runnymede-Bloor West Village (89),NO
2018,2018-10-27,2018-10-31,Religion,Mischief Under $5000,Wychwood (94),NO
2018,2018-10-29,2018-10-29,Religion,Mischief Under $5000,Rosedale-Moore Park (98),NO
2018,2018-10-30,2018-10-30,Race/Ethnicity,Mischief Under $5000,Hillcrest Village (48),NO
2018,2018-10-30,2018-10-30,Gender,Criminal Harassment,Bay Street Corridor (76),YES
2018,2018-11-04,2018-11-04,Sexual Orientation,Assault With a Weapon,Church-Yonge Corridor (75),YES
2018,2018-11-04,2018-11-04,Religion,Mischief Under $5000,Playter Estates-Danforth (67),NO
2018,2018-11-08,2018-11-09,Religion,Uttering Threats - Bodily Harm,Agincourt South-Malvern West (128),NO
2018,2018-11-10,2018-11-12,Race/Ethnicity,Mischief Under $5000,Niagara (82),NO
2018,2018-11-11,2018-11-11,Religion,Robbery,Englemount-Lawrence (32),NO
2018,2018-11-18,2018-11-18,Religion,Assault,Woodbine-Lumsden (60),NO
2018,2018-11-19,2018-11-19,Religion,Mischief Under $5000,Dovercourt-Wallace Emerson-Junction (93),NO
2018,2018-11-21,2018-11-21,Race/Ethnicity,Assault,Downsview-Roding-CFB (26),NO
2018,2018-11-22,2018-11-22,Religion,Mischief Under $5000,Rosedale-Moore Park (98),NO
2018,2018-11-26,2018-11-26,Religion,Criminal Harassment,Humewood-Cedarvale (106),NO
2018,2018-12-05,2018-12-07,Religion,Criminal Harassment,Willowdale West (37),NO
2018,2018-12-06,2018-12-06,Religion,Criminal Harassment,Dovercourt-Wallace Emerson-Junction (93),NO
2018,2018-12-08,2018-12-08,Sexual Orientation,Mischief Under $5000,Downsview-Roding-CFB (26),NO
2019,2019-01-01,2019-02-18,Race/Ethnicity,Mischief Under $5000,Clairlea-Birchmount (120),NO
2019,2019-01-12,2019-01-12,Ethnicity,Assault,Waterfront Communities-The Island (77),NO
2019,2019-01-16,2019-01-16,Religion,Mischief Under $5000,North Riverdale (68),NO
2019,2019-01-23,2019-01-23,Race/Ethnicity,Mischief Under $5000,York University Heights (27),NO
2019,2019-01-25,2019-01-25,Gender,Assault,Church-Yonge Corridor (75),YES
2019,2019-01-26,2019-01-29,Race/Ethnicity,Uttering Threats - Bodily Harm,NSA,NO
2019,2019-01-27,2019-01-27,Religion,Mischief Interfere With Property,Oakwood Village (107),NO
2019,2019-02-07,2019-02-08,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Palmerston-Little Italy (80),YES
2019,2019-02-11,2019-02-13,Religion,Mischief Under $5000,Niagara (82),NO
2019,2019-02-22,2019-02-25,Gender,Mischief Under $5000,Stonegate-Queensway (16),NO
2019,2019-02-23,2019-02-23,Religion,Mischief Under $5000,Lawrence Park South (103),NO
2019,2019-02-26,2019-02-27,Race/Ethnicity,Mischief Under $5000,Runnymede-Bloor West Village (89),NO
2019,2019-02-27,2019-02-27,Religion,Mischief Under $5000,Newtonbrook East (50),NO
2019,2019-03-02,2019-03-02,Ethnicity,Assault,Kennedy Park (124),NO
2019,2019-03-02,2019-03-06,Sexual Orientation,Uttering Threats - Bodily Harm,Rustic (28),NO
2019,2019-03-09,2019-03-12,Religion,Uttering Threats - Bodily Harm,Willowdale East (51),NO
2019,2019-03-10,2019-03-10,Gender,Uttering Threats - Bodily Harm,Church-Yonge Corridor (75),YES
2019,2019-03-14,2019-03-14,Sexual Orientation,Assault,Bay Street Corridor (76),NO
2019,2019-03-15,2019-03-18,Gender,Wilful Promotion of Hatred,Palmerston-Little Italy (80),NO
2019,2019-03-16,2019-03-16,Race/Ethnicity,Mischief Under $5000,York University Heights (27),NO
2019,2019-03-18,2019-03-18,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Lawrence Park North (105),NO
2019,2019-03-23,2019-03-23,Religion,Mischief Under $5000,Banbury-Don Mills (42),NO
2019,2019-03-25,2019-03-26,Race/Ethnicity,Criminal Harassment,Glenfield-Jane Heights (25),NO
2019,2019-04-06,2019-04-07,Sexual Orientation,Mischief Under $5000,Dorset Park (126),NO
2019,2019-04-08,2019-05-09,Religion,Criminal Harassment,L'Amoreaux (117),NO
2019,2019-04-09,2019-04-11,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Oakridge (121),NO
2019,2019-04-10,2019-09-15,Religion,Criminal Harassment,Niagara (82),NO
2019,2019-04-10,2019-04-10,Religion,Mischief Under $5000,Waterfront Communities-The Island (77),NO
2019,2019-04-13,2019-04-13,Religion,Assault,NSA,NO
2019,2019-04-21,2019-04-23,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Playter Estates-Danforth (67),NO
2019,2019-04-25,2019-04-25,Religion,Mischief Under $5000,Waterfront Communities-The Island (77),NO
2019,2019-04-30,2019-05-01,Race/Ethnicity,Criminal Harassment,NSA,NO
2019,2019-05-05,2019-05-05,Religion,Mischief Under $5000,Church-Yonge Corridor (75),NO
2019,2019-05-07,2019-05-23,Sexual Orientation,Criminal Harassment,Church-Yonge Corridor (75),NO
2019,2019-05-09,2019-05-09,Religion,Mischief Under $5000,York University Heights (27),NO
2019,2019-05-10,2019-05-13,Religion,Assault,Kensington-Chinatown (78),NO
2019,2019-05-10,2019-05-13,Religion,Uttering Threats - Bodily Harm,Danforth East York (59),NO
2019,2019-05-12,2019-05-12,Gender,Disturbing Religious Worship Or Certain Meetings,South Parkdale (85),NO
2019,2019-05-15,2019-05-15,Race/Ethnicity,Mischief Under $5000,Bay Street Corridor (76),NO
2019,2019-05-17,2019-05-17,Race/Ethnicity,Uttering Threats - Bodily Harm,Etobicoke West Mall (13),NO
2019,2019-05-17,2019-05-17,Race/Ethnicity,Uttering Threats - Bodily Harm,Centennial Scarborough (133),YES
2019,2019-05-19,2019-05-19,Religion,Mischief Under $5000,Eringate-Centennial-West Deane (11),NO
2019,2019-05-20,2019-05-29,Religion,Uttering Threats - Bodily Harm,Bathurst Manor (34),YES
2019,2019-05-22,2019-05-22,Religion,Mischief Under $5000,NSA,NO
2019,2019-05-28,2019-05-31,Race/Ethnicity,Assault,North St.James Town (74),NO
2019,2019-05-29,2019-05-29,Sexual Orientation,Criminal Harassment,Annex (95),NO
2019,2019-05-31,2019-05-31,Religion,Criminal Harassment,Church-Yonge Corridor (75),NO
2019,2019-05-31,2019-06-01,Religion,Uttering Threats - Bodily Harm,Agincourt South-Malvern West (128),NO
2019,2019-06-01,2019-06-04,Sexual Orientation,Criminal Harassment,West Hill (136),NO
2019,2019-06-03,2019-06-03,Religion,Mischief Under $5000,Annex (95),NO
2019,2019-06-03,2019-06-06,Religion,Mischief Interfere With Property,Church-Yonge Corridor (75),NO
2019,2019-06-04,2019-06-04,Sexual Orientation,Causing a Disturbance,Church-Yonge Corridor (75),YES
2019,2019-06-07,2019-06-09,Religion,Mischief Under $5000,Hillcrest Village (48),NO
2019,2019-06-08,2019-06-09,Race/Ethnicity,Assault,Islington-City Centre West (14),NO
2019,2019-06-11,2019-06-12,Sexual Orientation,Assault,York University Heights (27),YES
2019,2019-06-15,2019-06-18,Sexual Orientation,Mischief Interfere With Property,South Riverdale (70),NO
2019,2019-06-17,2019-06-17,Race/Ethnicity,Mischief Under $5000,Regent Park (72),NO
2019,2019-06-17,2019-06-17,Ethnicity,Assault,Newtonbrook East (50),NO
2019,2019-06-19,2019-06-19,Gender,Assault,Church-Yonge Corridor (75),NO
2019,2019-06-19,2019-06-24,Ethnicity,Assault,Kingsway South (15),NO
2019,2019-06-20,2019-06-21,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Englemount-Lawrence (32),NO
2019,2019-06-23,2019-06-25,Ethnicity,Mischief Under $5000,Wexford/Maryvale (119),NO
2019,2019-06-24,2019-06-24,Religion,Criminal Harassment,Westminster-Branson (35),NO
2019,2019-06-26,2019-06-26,Race/Ethnicity,Assault,Church-Yonge Corridor (75),YES
2019,2019-06-27,2019-06-28,Race/Ethnicity,Mischief Under $5000,Blake-Jones (69),NO
2019,2019-06-30,2019-07-04,Religion,Mischief Under $5000,Long Branch (19),NO
2019,2019-07-02,2019-07-03,Ethnicity,Assault,NSA,NO
2019,2019-07-04,2019-07-08,Sexual Orientation,Mischief Under $5000,East End-Danforth (62),YES
2019,2019-07-08,2019-07-09,Race/Ethnicity,Mischief Under $5000,Bay Street Corridor (76),NO
2019,2019-07-08,2019-07-09,Sexual Orientation,Mischief Under $5000,York University Heights (27),NO
2019,2019-07-09,2019-07-09,Ethnicity,Uttering Threats - Bodily Harm,Regent Park (72),YES
2019,2019-07-12,2019-07-12,Sexual Orientation,Uttering Threats - Bodily Harm,Niagara (82),YES
2019,2019-07-15,2019-07-15,Religion,Mischief Interfere With Property,Cliffcrest (123),NO
2019,2019-07-16,2019-07-16,Race/Ethnicity,Assault,Moss Park (73),YES
2019,2019-07-18,2019-07-21,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Dovercourt-Wallace Emerson-Junction (93),NO
2019,2019-07-19,2019-07-19,Race/Ethnicity,Uttering Threats - Bodily Harm,West Humber-Clairville (1),NO
2019,2019-07-20,2019-07-20,Religion,Assault,Black Creek (24),YES
2019,2019-07-22,2019-07-22,Religion,Mischief Under $5000,Lansing-Westgate (38),NO
2019,2019-07-24,2019-07-31,Religion,Mischief Interfere With Property,Annex (95),NO
2019,2019-07-25,2019-07-26,Race/Ethnicity,Mischief Under $5000,Church-Yonge Corridor (75),NO
2019,2019-07-26,2019-07-26,Religion,Uttering Threats - Bodily Harm,NSA,YES
2019,2019-07-28,2019-07-29,Religion,Mischief Under $5000,Dovercourt-Wallace Emerson-Junction (93),NO
2019,2019-07-28,2019-07-29,Religion,Uttering Threats - Property,Englemount-Lawrence (32),NO
2019,2019-08-06,2019-08-07,Religion,Mischief Under $5000,L'Amoreaux (117),NO
2019,2019-08-11,2019-08-12,Race/Ethnicity,Mischief Under $5000,Moss Park (73),NO
2019,2019-08-12,2019-08-12,Race/Ethnicity,Assault,Bay Street Corridor (76),YES
2019,2019-08-15,2019-08-15,Sexual Orientation,Mischief Under $5000,East End-Danforth (62),NO
2019,2019-08-16,2019-08-16,Religion,Mischief Under $5000,Church-Yonge Corridor (75),NO
2019,2019-08-16,2019-08-23,Sexual Orientation,Mischief Under $5000,NSA,YES
2019,2019-08-18,2019-08-18,Sexual Orientation,Mischief Under $5000,East End-Danforth (62),NO
2019,2019-08-20,2019-08-20,Sexual Orientation,Mischief Under $5000,Woodbine-Lumsden (60),YES
2019,2019-08-21,2019-08-21,Religion,Mischief Under $5000,Dorset Park (126),NO
2019,2019-08-22,2019-08-22,Race/Ethnicity,Mischief Under $5000,Clairlea-Birchmount (120),NO
2019,2019-08-22,2019-08-22,Religion,Uttering Threats - Property,West Hill (136),NO
2019,2019-08-23,2019-08-23,Race/Ethnicity,Assault,Bay Street Corridor (76),NO
2019,2019-08-23,2019-08-24,Race/Ethnicity,Mischief Under $5000,NSA,NO
2019,2019-08-25,2019-08-27,Religion,Mischief Under $5000,Bay Street Corridor (76),NO
2019,2019-08-26,2019-08-31,Religion,Wilful Promotion of Hatred,Bay Street Corridor (76),NO
2019,2019-08-30,2019-09-03,Religion,Mischief Under $5000,Downsview-Roding-CFB (26),NO
2019,2019-08-31,2019-08-31,Religion,Mischief Under $5000,Etobicoke West Mall (13),NO
2019,2019-09-01,2019-09-01,Religion,Uttering Threats - Bodily Harm,Kensington-Chinatown (78),NO
2019,2019-09-02,2019-09-02,Sexual Orientation,Assault,NSA,NO
2019,2019-09-03,2019-09-03,Religion,Mischief Under $5000,Willowdale East (51),NO
2019,2019-09-03,2019-09-03,Ethnicity,Assault With a Weapon,Downsview-Roding-CFB (26),NO
2019,2019-09-05,2019-09-05,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Oakwood Village (107),NO
2019,2019-09-05,2019-09-06,Race/Ethnicity,Mischief Under $5000,Cliffcrest (123),NO
2019,2019-09-07,2019-09-09,Race/Ethnicity,Mischief Under $5000,Danforth (66),NO
2019,2019-09-10,2019-09-12,Religion,Assault,Newtonbrook East (50),NO
2019,2019-09-10,2019-09-12,Religion,Advocating Genocide,Newtonbrook East (50),NO
2019,2019-09-11,2019-09-11,Ethnicity,Mischief Under $5000,South Riverdale (70),NO
2019,2019-09-11,2019-09-11,Ethnicity,Mischief Under $5000,NSA,NO
2019,2019-09-17,2019-09-19,Religion,Uttering Threats - Bodily Harm,West Humber-Clairville (1),YES
2019,2019-09-21,2019-09-21,Religion,Uttering Threats - Bodily Harm,Englemount-Lawrence (32),NO
2019,2019-09-25,2019-09-25,Religion,Mischief Under $5000,Downsview-Roding-CFB (26),NO
2019,2019-09-25,2019-09-25,Gender,Firearms Related Offence,Dovercourt-Wallace Emerson-Junction (93),NO
2019,2019-09-25,2019-09-26,Religion,Uttering Threats - Bodily Harm,Yonge-Eglinton (100),NO
2019,2019-09-30,2019-10-04,Race/Ethnicity,Mischief Under $5000,South Parkdale (85),NO
2019,2019-10-06,2019-10-09,Religion,Uttering Threats - Bodily Harm,Trinity-Bellwoods (81),NO
2019,2019-10-07,2019-10-07,Religion,Mischief Under $5000,West Hill (136),NO
2019,2019-10-14,2019-10-15,Sexual Orientation,Uttering Threats - Bodily Harm,Kennedy Park (124),NO
2019,2019-10-16,2019-10-16,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Kensington-Chinatown (78),NO
2019,2019-10-22,2019-10-29,Religion,Mischief Under $5000,Eglinton East (138),NO
2019,2019-11-06,2019-11-24,Religion,Mischief Under $5000,North St.James Town (74),NO
2019,2019-11-07,2019-11-07,Religion,Uttering Threats - Bodily Harm,Bay Street Corridor (76),YES
2019,2019-11-11,2019-11-19,Race/Ethnicity,Mischief Under $5000,North St.James Town (74),YES
2019,2019-11-13,2019-11-14,Religion,Uttering Threats - Bodily Harm,Waterfront Communities-The Island (77),NO
2019,2019-11-13,2019-11-13,Race/Ethnicity,Assault,North St.James Town (74),NO
2019,2019-11-17,2019-11-20,Race/Ethnicity,Mischief Under $5000,Mount Pleasant East (99),NO
2019,2019-11-20,2019-12-10,Religion,Public Incitement of Hatred,York University Heights (27),NO
2019,2019-11-22,2019-11-24,Ethnicity,Assault,Church-Yonge Corridor (75),NO
2019,2019-11-24,2019-11-27,Ethnicity,Uttering Threats - Bodily Harm,University (79),NO
2019,2019-12-03,2019-12-04,Gender,Mischief Under $5000,Kennedy Park (124),YES
2019,2019-12-06,2019-12-09,Race/Ethnicity,Mischief Under $5000,New Toronto (18),NO
2019,2019-12-11,2019-12-12,Religion,Mischief Under $5000,North Riverdale (68),NO
2019,2019-12-30,2019-12-30,Religion,Mischief Under $5000,Rustic (28),NO
2020,2020-01-01,2020-01-01,Religion,Mischief Under $5000,Englemount-Lawrence (32),NO
2020,2020-01-05,2020-01-06,Religion,Mischief Under $5000,Bay Street Corridor (76),NO
2020,2020-01-08,2020-01-08,Gender,Assault With a Weapon,Dovercourt-Wallace Emerson-Junction (93),YES
2020,2020-01-09,2020-01-09,Religion,Mischief Under $5000,Annex (95),NO
2020,2020-01-09,2020-01-15,Ethnicity,Assault,Regent Park (72),NO
2020,2020-01-10,2020-02-04,Religion,Mischief Under $5000,Willowdale East (51),NO
2020,2020-01-14,2020-01-16,Sexual Orientation,Assault,Moss Park (73),NO
2020,2020-01-17,2020-01-17,Religion,Mischief Under $5000,Mount Pleasant West (104),NO
2020,2020-01-18,2020-01-26,Race/Ethnicity,Mischief Under $5000,Islington-City Centre West (14),NO
2020,2020-01-19,2020-01-20,Religion,Mischief Interfere With Property,Caledonia-Fairbank (109),NO
2020,2020-01-20,2020-01-20,Religion,Mischief Under $5000,Mimico (includes Humber Bay Shores) (17),NO
2020,2020-01-20,2020-01-21,Race/Ethnicity,Mischief Under $5000,Bay Street Corridor (76),NO
2020,2020-01-20,2020-01-21,Race/Ethnicity,Assault,Banbury-Don Mills (42),NO
2020,2020-01-27,2020-01-27,Religion,Public Incitement of Hatred,Bathurst Manor (34),NO
2020,2020-01-30,2020-01-30,Race/Ethnicity,Mischief Interfere With Property,Long Branch (19),NO
2020,2020-02-02,2020-02-02,Religion,Assault,Church-Yonge Corridor (75),NO
2020,2020-02-07,2020-02-11,Ethnicity,Robbery,Rosedale-Moore Park (98),YES
2020,2020-02-07,2020-02-08,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Dovercourt-Wallace Emerson-Junction (93),NO
2020,2020-02-11,2020-02-12,Sexual Orientation,Mischief Under $5000,Cabbagetown-South St.James Town (71),NO
2020,2020-02-11,2020-02-11,Ethnicity,Mischief Interfere With Property,NSA,NO
2020,2020-02-18,2020-02-18,Religion,Criminal Harassment,Niagara (82),NO
